;num_a;num_b;num_c;num_ç;num_d;num_e;num_f;num_g;num_h;num_i;num_j;num_k;num_l;num_m;num_n;num_ñ;num_o;num_p;num_q;num_r;num_s;num_t;num_u;num_v;num_w;num_x;num_y;num_z;num_sch;num_ch;num_sh;num_gn;num_esszett;num_ssh;num_ix;num_ll;num_œ;num_à;num_á;num_â;num_ä;num_è;num_é;num_ê;num_ë;num_ì;num_í;num_î;num_ï;num_ò;num_ó;num_ô;num_ö;num_ù;num_ú;num_û;num_ü;num_consonants;num_vowels;num_triple_vowels;num_triple_consonants;num_capital;max_length_word;mean_length_words;diacritic_count;ratio_vowels_consonants;mean_vowel_per_word;phrase
27;12;5;2;0;2;16;0;1;2;12;0;0;4;3;6;1;10;2;5;7;10;6;8;4;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;60;63;2;0;4;10;4.88;2;0.9523809523809523;0.40816326530612246;Sin embargo es obvio que los Hobbits vivían en paz en la Tierra Media muchos años antes que cualquier otro pueblo advirtiese siquiera que existían
28;9;2;5;0;2;14;1;3;0;7;0;0;4;2;7;1;6;3;1;4;6;6;4;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;43;51;0;1;3;14;5.529411764705882;3;0.8431372549019608;0.38738738738738737;Y como el mundo se pobló luego de extravías e incontables criaturas, esta Gente Pequeña pareció insignificante
29;10;6;2;0;11;19;3;1;1;7;0;0;9;5;9;0;23;5;0;14;18;5;1;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;61;94;0;1;7;13;4.361111111111111;1;0.648936170212766;0.3160621761658031;Pero en los días de Bilbo y de Frodo, heredero de Bilbo, se transformaron de pronto a pesar de ellos mismos en importantes y famosos, y perturbaron los Concilios de los Grandes y de los Sabios
30;29;3;6;0;15;30;1;2;5;11;1;0;14;9;14;0;16;1;3;15;16;8;7;3;0;0;2;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;97;120;0;0;10;12;4.469387755102041;4;0.8083333333333333;0.3619402985074627;Aquellos días la Tercera Edad de la Tierra Media han quedado muy atrás, y la conformación de las tierras en general ha cambiado mucho| pero las regiones en que vivían entonces los Hobbits eran sin duda las mismas de ahora: el Noroeste del Viejo Mundo, al este del Mar
31;3;5;0;0;5;6;0;0;1;3;0;0;3;1;5;0;5;1;0;0;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;20;27;0;0;3;7;4.2727272727272725;3;0.7407407407407407;0.3448275862068966;Los Hobbits del tiempo de Bilbo no sabían de dónde venían
32;26;4;10;0;12;31;3;4;3;16;0;0;11;4;17;0;20;5;1;10;28;10;5;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;2;0;0;104;126;0;2;4;13;5.177777777777778;6;0.8253968253968254;0.37410071942446044;El deseo de conocimiento (fuera de las ciencias genealógicas) no era común entre ellos, pero había aún descendientes de antiguas familias que estudiaban sus propios libros y hasta recogían de los Elfos, los Enanos y los Hombres noticias de épocas pasadas y de tierras distantes
33;15;1;6;0;7;19;0;2;0;5;0;0;10;5;9;0;13;4;1;6;15;3;4;0;0;1;2;1;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;60;74;0;0;4;13;4.586206896551724;4;0.8108108108108109;0.37037037037037035;Los recuerdos propios comienzan luego de que se establecieran en la Comarca y las leyendas más antiguas apenas si se remontan poco más allá de los Días del Exodo
34;17;7;7;0;7;31;1;1;3;4;2;0;13;6;11;0;18;5;2;8;21;12;10;1;0;0;4;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;114;0;3;2;13;4.853658536585366;3;0.7280701754385965;0.34297520661157027;Está perfectamente claro, no obstante, a través de estas leyendas y lo que puede descubrirse en el lenguaje y las costumbres de los Hobbits, que en un   pasado muy lejano ellos también se desplazaron hacia el oeste, como muchos otros pueblos
35;18;3;2;0;6;17;1;1;2;9;0;0;12;4;12;1;10;2;2;9;18;6;5;3;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;87;0;1;7;11;4.709677419354839;0;0.6781609195402298;0.3333333333333333;En las historias primitiv as hay referencias oscuras a los tiempos en que moraban en los altos valles del Anduin, entre los lindes del Gran Bosque Verde y las Montañas Nubladas
36;9;1;4;0;5;15;0;1;0;3;0;0;3;3;8;1;10;3;1;12;6;4;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;55;0;2;3;12;4.409090909090909;2;0.7636363636363637;0.35294117647058826;No se sabe con certeza por qué emprendieron más tarde el arduo y peligroso cruce de las Montañas y entraron en Eriador
37;16;7;6;0;6;20;2;1;3;6;0;0;15;4;7;0;14;2;3;10;12;6;7;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;66;88;0;2;4;14;4.4;3;0.75;0.3492063492063492;Los relatos hobbits hablan de la multiplicación de los Hombres en la tierra y de una sombra que cayó sobre la floresta y la oscureció, por lo que fue llamada desde entonces el Bosque Negro
38;12;4;1;0;5;11;2;0;2;5;0;0;7;2;7;1;11;1;0;6;16;8;3;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;43;66;0;0;6;10;4.625;1;0.6515151515151515;0.31851851851851853;Antes de cruzar las Montañas, los Hobbits ya se habían dividido en tres ramas un tanto diferentes los Pelosos, los Fuertes y los Albos
39;21;3;5;0;6;16;1;1;0;8;0;0;13;4;9;1;14;8;0;11;17;3;3;1;0;0;4;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;65;88;0;0;2;14;4.7272727272727275;3;0.7386363636363636;0.3439153439153439;Los Pelosos eran de piel más oscura, cuerpo menudo, cara lampiña, y no llevaban botas| de manos y pies bien proporcionados y ágiles preferían las tierras altas y las laderas de las colinas
40;12;0;3;0;4;10;2;1;1;5;0;0;9;4;10;0;7;2;0;8;17;4;3;0;0;0;2;0;0;1;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;45;70;0;2;2;12;4.791666666666667;8;0.6428571428571429;0.3237410071942446;Los Fuertes eran más anchos, de constitución más sólida| tenían pies y manos más grandes| preferían las llanuras y las orillas de los ríos
41;9;5;2;0;3;8;0;1;0;1;0;0;12;3;2;0;13;1;2;4;15;2;2;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;56;0;0;2;8;4.2727272727272725;3;0.6428571428571429;0.3103448275862069;Los Albos, de piel y cabellos más claros, eran más altos y delgados que los otros: amaban los árboles y los bosques
42;7;1;4;0;1;13;0;0;1;8;0;0;5;5;11;1;16;3;0;6;12;7;3;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;48;62;0;1;3;13;5.7368421052631575;1;0.7741935483870968;0.375;Los Pelosos tuvieron relación con los Enanos en tiempos remotos y vivieron durante mucho tiempo en las estribaciones montañosas
43;19;1;3;0;4;18;1;1;2;7;0;0;7;4;9;0;12;5;0;14;15;6;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;59;76;0;2;6;13;5.230769230769231;1;0.7763157894736842;0.36419753086419754;Fueron los primeros en desplazarse hacia el oeste y vagabundearon por Eriador hasta la Cima de los Vientos, mientras los otros permanecían en las Tierras Asperas
44;15;4;4;0;4;22;0;0;2;9;0;0;8;7;11;0;7;3;1;10;13;10;4;5;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;64;86;0;1;2;14;4.71875;7;0.7441860465116279;0.34972677595628415;Eran la especie más normal, representativa y numerosa de los Hobbits y también la más sedentaria y la que conservó durante más tiempo el hábito ancestral de vivir en túneles y cuevas
45;7;1;1;0;3;9;1;1;2;4;0;0;6;4;6;1;9;0;0;6;8;2;3;2;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;34;47;0;1;6;8;4.444444444444445;2;0.723404255319149;0.3469387755102041;Los Fuertes vivieron muchos años a orillas del Río Grande, el Anduin y temían menos a los Hombres
46;11;2;3;0;7;23;0;1;3;10;0;0;13;3;11;0;17;3;0;13;18;8;7;5;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;70;94;1;1;6;9;4.527777777777778;2;0.7446808510638298;0.35175879396984927;Vinieron al oeste después de los Pelosos y siguieron el curso del Sonorona hacia el sur| muchos de ellos vivieron un tiempo entre Tharbad y los límites de las Tierras Brunas antes de volver al norte
47;18;5;2;0;3;14;1;2;2;4;2;0;13;7;8;0;15;2;2;8;18;4;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;61;81;0;0;4;10;4.264705882352941;4;0.7530864197530864;0.3407821229050279;Los Albos, los menos numerosos, eran una rama nórdica, más amiga de los Elfos que el resto de los Hobbits y más hábil para el lenguaje y los cantos que para los trabajos manuales
48;9;1;2;0;1;4;1;1;1;3;0;0;3;1;1;0;1;2;0;5;1;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;20;22;0;1;1;11;5.25;1;0.9090909090909091;0.4;Siempre habían preferido la caza a la agricultura
49;5;0;2;0;4;9;1;1;0;2;0;0;4;1;7;1;5;0;0;6;4;3;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;23;37;0;0;3;12;5.454545454545454;1;0.6216216216216216;0.323943661971831;Cruzaron las montañas al norte de Rivendel y descendieron el Fontegrís
50;17;2;8;0;5;23;2;0;0;4;1;0;14;8;12;0;21;3;0;11;20;6;5;2;0;0;4;1;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;73;101;0;2;4;12;4.578947368421052;3;0.7227722772277227;0.3443396226415094;Muy pronto se mezclaron en Eriador con las ramas ya establecidas allí, pero como eran más valientes y más aventureros, se los encontraba a menudo como jefes o caudillos en los clanes de los Pelosos y los Fuertes
51;13;4;4;0;7;16;2;2;0;5;0;1;10;4;4;1;12;3;0;7;14;6;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;54;71;0;0;7;11;4.379310344827586;5;0.7605633802816901;0.34615384615384615;Todavía en tiempos de Bilbo, el fuerte carácter albo podía descubrirse aún en las grandes familias, tales como los Tuk y los Seño res del País de Los Gamos
52;13;4;3;0;5;12;1;0;2;4;0;0;8;3;10;2;10;0;0;8;12;7;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;67;0;3;9;12;5.238095238095238;0;0.6119402985074627;0.31297709923664124;En las tierras occidentales de Eriador, entre las Montañas Nubladas y las Montañas de Lun, los Hobbits encontraron Hombres y Elfos
53;22;4;3;0;13;30;1;0;1;9;0;0;11;4;14;0;16;4;1;16;14;8;3;2;0;0;3;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;84;102;0;1;7;14;4.794871794871795;4;0.8235294117647058;0.37168141592920356;En efecto, todavía moraba allí un resto de los Dúnedain, los reyes de los Hombres que vinieron por el Mar desde Oesternesse| pero iban desapareciendo rápidamente y la ruina alcanzaba ya a todas las tierras del Reino del Norte
54;14;5;4;0;5;14;0;1;2;8;0;0;3;4;10;0;10;5;0;5;10;5;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;50;62;0;0;2;12;5.380952380952381;1;0.8064516129032258;0.373134328358209;Había pues sitio y en abundancia para los inmigrantes, y en poco tiempo los Hobbits empezaron a establecerse en comunidades ordenadas
55;31;6;7;0;13;32;0;0;1;13;0;0;11;10;14;1;13;4;4;11;14;10;10;1;0;0;2;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;103;111;1;0;5;11;4.428571428571429;4;0.9279279279279279;0.38721804511278196;De la mayoría de las primitivas colonias no quedaba ya ni siquiera el recuerdo en tiempos de Bilbo, pero una de las más importantes se mantenía aún, aunque reducida de tamaño: estaba en Bree, en medio del bosque de Chet, a unas cuarenta millas al este de la Comarca
56;20;5;3;0;11;22;2;0;2;8;0;0;10;3;14;0;13;3;2;9;13;5;6;1;0;0;1;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;72;88;1;2;4;11;4.735294117647059;3;0.8181818181818182;0.36548223350253806;Fue en aquellos tempranos días, sin duda, cuando los Hobbits aprendieron el alfabeto y comenzaron a escribir a la manera de los Dúnedain, quienes a su   vez habían aprendido este arte de los Ellos
57;33;7;4;0;15;32;1;4;5;7;0;0;18;6;18;0;22;2;3;15;23;14;7;1;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;104;141;0;2;9;9;4.611111111111111;3;0.7375886524822695;0.3432343234323432;También en ese tiempo los Hobbits olvidaron todas las lenguas que habían usado antes, y desde entonces hablaron siempre la Lengua Común, que llamaban Oestron y que era corriente en todas las tierras de los reyes, desde Arnor hasta Gondor, y a lo largo de toda la costa del mar, desde Belfalas hasta Lun
58;18;5;5;0;8;12;0;3;0;5;0;0;8;5;10;0;18;6;1;8;19;0;5;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;60;83;0;1;1;11;4.8;2;0.7228915662650602;0.3448275862068966;Sin embargo, conservaron unos pocos vocablos de su propio idioma, así como las palabras que designaban los meses y los días y un gran caudal de nombres personales del pasado
