;Phrase
42;Los Albos, de piel y cabellos más claros, eran más altos y delgados que los otros: amaban los árboles y los bosques
43;Los Pelosos tuvieron relación con los Enanos en tiempos remotos y vivieron durante mucho tiempo en las estribaciones montañosas
44;Fueron los primeros en desplazarse hacia el oeste y vagabundearon por Eriador hasta la Cima de los Vientos, mientras los otros permanecían en las Tierras Asperas
45;Eran la especie más normal, representativa y numerosa de los Hobbits y también la más sedentaria y la que conservó durante más tiempo el hábito ancestral de vivir en túneles y cuevas
46;Los Fuertes vivieron muchos años a orillas del Río Grande, el Anduin y temían menos a los Hombres
47;"Vinieron al oeste después de los Pelosos y siguieron el curso del Sonorona hacia el sur; muchos de ellos vivieron un tiempo entre Tharbad y los límites de las Tierras Brunas antes de volver al norte.Los Albos, los menos numerosos, eran una rama nórdica, más amiga de los Elfos que el resto de los Hobbits y más hábil para el lenguaje y los cantos que para los trabajos manuales"
48;Siempre habían preferido la caza a la agricultura
49;Cruzaron las montañas al norte de Rivendel y descendieron el Fontegrís
50;Muy pronto se mezclaron en Eriador con las ramas ya establecidas allí, pero como eran más valientes y más aventureros, se los encontraba a menudo como jefes o caudillos en los clanes de los Pelosos y los Fuertes
51;Todavía en tiempos de Bilbo, el fuerte carácter albo podía descubrirse aún en las grandes familias, tales como los Tuk y los Seño res del País de Los Gamos
52;En las tierras occidentales de Eriador, entre las Montañas Nubladas y las Montañas de Lun, los Hobbits encontraron Hombres y Elfos
53;"En efecto, todavía moraba allí un resto de los Dúnedain, los reyes de los Hombres que vinieron por el Mar desde Oesternesse; pero iban desapareciendo rápidamente y la ruina alcanzaba ya a todas las tierras del Reino del Norte"
54;Había pues sitio y en abundancia para los inmigrantes, y en poco tiempo los Hobbits empezaron a establecerse en comunidades ordenadas
55;De la mayoría de las primitivas colonias no quedaba ya ni siquiera el recuerdo en tiempos de Bilbo, pero una de las más importantes se mantenía aún, aunque reducida de tamaño: estaba en Bree, en medio del bosque de Chet, a unas cuarenta millas al este de la Comarca
56;Fue en aquellos tempranos días, sin duda, cuando los Hobbits aprendieron el alfabeto y comenzaron a escribir a la manera de los Dúnedain, quienes a su El Señor de los anillos: La Comunidad del anillo 4 vez habían aprendido este arte de los Ellos
57;También en ese tiempo los Hobbits olvidaron todas las lenguas que habían usado antes, y desde entonces hablaron siempre la Lengua Común, que llamaban Oestron y que era corriente en todas las tierras de los reyes, desde Arnor hasta Gondor, y a lo largo de toda la costa del mar, desde Belfalas hasta Lun
58;Sin embargo, conservaron unos pocos vocablos de su propio idioma, así como las palabras que designaban los meses y los días y un gran caudal de nombres personales del pasado
59;Alrededor de esta época la leyenda comenzó a ser historia entre los Hobbits, al iniciarse el cómputo de los años
60;Pues fue en el año mil seiscientos uno de la Tercera Edad cuando los hermanos albos Marcho y Blanco salieron de Bree y luego de haber obtenido permiso del gran rey de Fornost1, cruzaron el Baranduin, el río pardo, con un gran séquito de Hobbits
61;Pasaron por el Puente de los Arbotantes, que había sido construido durante el apogeo del Reino del Norte y tomaron posesión de la tierra que se extendía más allá, donde se establecieron entre el río y las Quebradas Lejanas
62;Todo lo que se les pidió fue que mantuviesen en buen estado el Puente Grande y los demás puentes y caminos, que ayudaran a los mensajeros y que reconocieran la majestad del rey
63;Así comenzó la Cronología de la Comarca, pues el año del cruce del Brandivino como los Hobbits rebautizaron al Baranduin se transformó en el Año Uno de la Comarca y todas las fechas posteriores se calcularon a partir de entonces.1 Los Hobbits occidentales se enamoraron en seguida de la nueva tierra, se quedaron allí y muy pronto desaparecieron de la historia de los Hombres y de los Elfos
64;Aunque aún había allí un rey del que eran súbditos formales, en realidad estaban gobernados por jefes propios y nunca intervenían en los hechos del mundo exterior
65;En la última batalla de Fornost con el Señor Mago de Angmar, enviaron algunos arqueros en ayuda del rey, o por lo menos así lo afirmaron, si bien esto no aparece en ningún relato de los Hombres
66;En esa guerra el Reino del Norte llegó a su fin y entonces los Hobbits se apropiaron de la tierra y eligieron de entre todos los jefes a un Thain, que asumió la autoridad del rey desaparecido
67;Desde entonces, por unos mil años, vivieron en una paz ininterrumpida
68;La tierra era rica y generosa y aunque había estado desierta durante mucho tiempo, en otras épocas había sido bien cultivada y allí el rey tuvo granjas, maizales, viñedos y bosques
69;Desde las Fronteras del Oeste, al pie de las Colinas de la Torre, hasta el Puente del Brandivino había unas cuarenta leguas y casi cincuenta desde los páramos del norte hasta los pantanos del sur
70;Los Hobbits denominaron a estas tierras la Comarca
71;"La región estaba bajo la autoridad del Thain y era un distrito de trabajos bien organizados; y allí, en ese placentero rincón del mundo, llevaron una vida ordenada y dieron cada vez menos importancia al mundo exterior, donde se movían unas cosas oscuras, hasta llegar a pensar que la paz y la abundancia eran la norma en la Tierra Media y el derecho de todo pueblo sensato"
72;Olvidaron o ignoraron lo poco que habían sabido de los Guardianes y de los trabajos de quienes hicieron posible la larga paz de la Comarca
73;De hecho estaban protegidos, pero no lo recordaban
74;       1 Según las crónicas de Gondor se trataba de Argeleb Ñ, vigésimo rey de la dinastía del Norte que se extinguió con Arvedui trescientos años más tarde 2 En el calendario de los Elfos y los Dúnedain los años de la Tercera Edad pueden determinarse sumando 16OO años a la cronología de la Comarca El Señor de los anillos: La Comunidad del anillo 5 En ningún momento los Hobbits fueron amantes de la guerra y jamás lucharon entre sí
75;Si bien en tiempos remotos se vieron obligados a luchar, para subsistir en un mundo difícil, en la época de Bilbo aquello era historia antigua
76;La última batalla antes del comienzo de este relato y por cierto la única que se libró dentro de los límites de la Comarca, ocurrió en una época inmemorial: fue la batalla de los Campos Verdes, en el año 1147 (CC) en la que Bandobras Tuk desbarató una invasión de Orcos
77;"Hasta el mismo clima se hizo más apacible; y los lobos, que en otros tiempos habían llegado desde el norte devorándolo todo durante los rudos inviernos blancos, eran ahora cuentos de viejas"
78;"Aunque había algún pequeño arsenal en la Comarca, las armas se usaban generalmente como trofeos: se las colgaba sobre las chimeneas o en las paredes, o se las coleccionaba en el museo de Cavada Grande, conocido corno el Hogar de los Mathoms; los Hobbits llamaban mathom a todo aquello que no tenía uso inmediato y que tampoco se decidían a desechar"
79;En las moradas de los Hobbits había a menudo grandes cantidades de mathoms y muchos de los regalos que pasaban de mano en mano eran de esa índole
80;No obstante, el ocio y la paz no habían alterado el raro vigor de esta gente
81;"Llegado el momento, era difícil intimidarlos o matarlos; y esa afición incansable que mostraban por las cosas buenas tenía quizás una razón: podían renunciar del todo a ellas cuando era necesario y lograban sobrevivir así a los rigores de la adversidad, de los enemigos o del clima, asombrando a aquellos que no los conocían y que no veían más allá de aquellas barrigas y aquellas caras regordetas"
82;Aunque se resistían a pelear y no mataban por deporte a ninguna criatura viviente, eran valientes cuando se los acosaba y hasta podían manejar las armas si se presentaba el caso
83;Tiraban bien con el arco, pues eran de mirada certera y buena puntería, y si un Hobbit recogía una piedra, lo mejor era ponerse a resguardo inmediatamente, corno bien lo sabían todas las bestias merodeadoras
84;Los Hobbits habían vivido en un principio en cuevas subterráneas, o así lo creían y en esas moradas se sentían a gusto
85;Mas con el transcurso del tiempo se vieron obligados a adoptar otras viviendas
86;Lo cierto es que en tiempos de Bilbo sólo los Hobbits más ricos y los más pobres mantenían en la Comarca esa vieja costumbre
87;Los más pobres continuaron viviendo en las madrigueras primitivas, en realidad simples agujeros, con una sola ventana o bien ninguna, mientras que los ricos edificaban versiones más lujosas de las simples excavaciones antiguas
88;"Pero los terrenos adecuados para estos grandes túneles ramificados (smials, como ellos los llamaban) no se encontraban en cualquier parte; y en las llanuras o en los distritos bajos, los Hobbits, a medida que se multiplicaban, comenzaron a edificar sobre el nivel del suelo"
89;En efecto, hasta en las regiones montañosas y en las villas más antiguas, tales como Hobbiton o Alforzada, o en la vecindad principal de la Comarca, Cavada Grande, en Quebradas Blancas, había ahora muchas casas de madera, ladrillo o piedra
90;"Por lo general eran las preferidas por molineros, herreros, cordeleros, carreteros y otros de su clase; porque aun cuando vivieran en cavernas, los Hobbits conservaban la vieja costumbre de construir cobertizos y talleres.El Señor de los anillos: La Comunidad del anillo 6 El hábito de edificar casas de campo y graneros dicen que comenzó entre los habitantes de Marjala, a orillas del Brandivino"
91;Los Hobbits de esa región, llamada Cuaderna del Este, eran más bien grandes y de piernas fuertes y usaban botas de enano en los días de barro
92;Pero no se ignoraba que tenían gran proporción de sangre Fuerte, lo que se notaba en el vello que les crecía en las barbillas
93;Ni los Pelosos ni los Albos tenían rastro alguno de barba
94;Los habitantes de Marjala y Los Gamos, al este del río, donde ellos se instalaron más tarde, habían llegado a la Comarca en época reciente, en su mayoría desde el lejano sur
95;Conservaban todavía nombres peculiares y palabras extrañas que no se encontraban en ningún otro lugar de la Comarca
96;Es posible que el arte de la edificación, como otros muchos oficios, proviniera de los Dúnedain
97;Pero los Hobbits pudieron haberlo aprendido de los Elfos, los maestros de los Hombres en su juventud
98;Los Elfos de Alto Linaje aún no habían abandonado la Tierra Media, y moraban entonces en los Puertos Grises del Oeste, y en otros lugares al alcance de la Comarca
99;Tres torres de los Elfos, de edad inmemorial, podían verse aún más allá de las fronteras occidentales
100;Brillaban en la le janía a la luz sobre una colina verde
101;Los Hobbits de la Cuaderna del Oeste decían que podía verse el mar desde allá arriba, pero no se tiene noticia de que alguno de ellos escalara la torre
102;En realidad, muy pocos Hobbits habían navegado, o siquiera visto el mar, y menos aún habían regresado para contarlo
103;La mayoría de los Hobbits miraban con profundo recelo aún los ríos y los pequeños botes, y muy pocos podían nadar
104;A medida que el tiempo corría, hablaban menos y menos con los Elfos y llegaron a tenerles miedo y a desconfiar de quienes los trataban
105;El mar se transformó en una palabra pavorosa, y un signo de muerte, y los Hobbits volvieron la espalda a las colinas del oeste
106;El arte de la edificación bien pudo provenir de los Elfos o de los Hombres, pero los Hobbits lo practicaban a su manera
107;No construían torres
108;Las casas eran generalmente imitaciones de smials, techadas con pasto seco, paja o turba y de paredes algo combadas
109;Este tipo de construcción venía sin embargo de los primeros días de la Comarca, y cambió y mejoró mucho desde entonces, incorporando procedimientos aprendidos de los Enanos o descubiertos por ellos mismos
110;La principal peculiaridad que subsistió de la arquitectura hobbit fue la afición a las ventanas redondas, o aun a las puertas redondas
111;Las casas y las cavernas de los Hobbits de la Comarca eran a menudo grandes y habitadas por familias numerosas.(Bilbo y Frodo eran solteros y por ello excepcionales, como en muchas ot ras cosas, entre ellas su amistad con los Elfos.) En ciertas oportunidades como el caso de los Tuk de los Grandes Smials o de los Brandigamo de Casa Brandi, muchas generaciones de parientes vivían en paz (relativa) en una mansión ancestral de numerosos túneles
112;Todos los Hobbits eran, de cualquier modo, gente aficionada a los clanes y llevaban cuidadosa cuenta de sus parientes
113;Dibujaban grandes y esmerados árboles genealógicos con innumerables ramas
114;Cuando se trata con los Hobbits es importante recordar quién está emparentado con quién y en qué grado
115;Sería imposible en este libro establecer un árbol de familia, aunque sólo incluyera a los miembros más importantes de las familias más destacadas en la época a que se refieren estos relatos
116;La colección de árboles genealógicos que se encuentra al final del Libro Rojo de la Frontera del Oeste es casi un pequeño libro y cualquiera, exceptuando a los Hobbits, la El Señor de los anillos: La Comunidad del anillo 7 encontraría excesivamente pesada
117;"Los Hobbits se deleitan con esas cosas, si son exactas; les encanta tener libros colmados de cosas que ya saben, expuestas sin contradicciones y honradamente"
118;"2 De la hierba para pipa Hay otra cosa entre los antiguos Hobbits que merece mencionarse; un hábito sorprendente: absorbían o inhalaban, a través de pipas de arcilla o madera, el humo de la combustión de una hierba llamada hoja o hierba para pipa, quizás una variedad de la Nicotiana"
119;Hay mucho misterio en el origen de esta costumbre peculiar, o de este «arte», como los Hobbits preferían llamarlo
120;Todo lo que se descubrió en la antigüedad sobre el tema fue recopilado por Meriadoc Brandigamo (más tarde señor de Los Gamos) y puesto que él y el tabaco de la Cuaderna del Sur son parte de la historia que sigue, sus comentarios en la introducción al Herbario de la Comarca merecen ser citados aquí
121;«Este arte, dice, es el único que podemos reclamar corno de invención nuestra
122;"En qué época empezaron a fumar los Hobbits es un enigma; todas las leyendas e historias familiares lo dan por sabido; durante años la gente de la Comarca fumó diversas hierbas, algunas malolientes, otras aromáticas"
123;Pero todos los documentos concuerdan en un punto: Tobold Corneta de Valle Largo en la Cuaderna del Sur fue el primero que cultivó un verdadero tabaco de pipa en los días de Isengrim II, alrededor del año 1070 de la Cronología de la Comarca
124;Los mejores cultivos todavía provienen de ese distrito, especialmente las variedades que ahora se conocen como Hoja Valle Largo, Viejo Toby y Estrella Sureña
125;»No está registrado cómo el viejo Toby obtuvo la planta, pues murió sin decírselo a nadie
126;Sabía mucho sobre hierbas, aunque no era viajero
127;"Se cuenta que en su juventud iba a menudo a Bree; ciertamente nunca se alejó de la Comarca más allá de Bree"
128;"Por lo tanto es muy posible que haya conocido esta planta en Bree, donde hoy se da bien en la vertiente sur de la colina; los Hobbits de Bree pretenden haber sido los primeros fumadores de esta hierba"
129;"Aseguran, por supuesto, que se adelantaron en todo a la gente de la Comarca, a quienes llaman ""colonos""; pero en este caso la pretensión es, a mi entender, probablemente cierta, pues todo indica que fue en Bree donde nació el arte de fumar la verdadera hierba, y desde allí se extendió en el curso de los últimos siglos entre los Enanos y algunos otros pueblos, como los Montaraces, los Magos y los vagabundos que iban y venían aún por aquella antigua encrucijada de caminos"
130;El centro y hogar de este arte se encuentra, pues, en la posada de Bree, El Poney Pisador, propiedad de la familia Mantecona desde épocas remotas
131;»Al mismo tiempo, mis propias observaciones en los viajes que hice al sur me convencieron de que la hierba no es originaria de nuestra región, sino que vino del Anduin inferior hacia el norte, traída, creo yo, del otro lado del Mar por los Hombres de Oesternesse
132;"Crece en abundancia en Gondor, y allí es más grande y exuberante que en el norte, donde nunca se la encuentra en estado salvaje; florece sólo en lugares cálidos y abrigados, como Valle Largo"
133;Los El Señor de los anillos: La Comunidad del anillo 8 Hombres de Gondor la llaman galenas dulce, y la aprecian por la fragancia de las flores
134;Desde esas tierras la habrían llevado al norte remontando el Camino Verde durante los largos siglos que median entre la llegada de Elendil y nuestros días
135;Pero hasta los Dúnedain de Gondor nos otorgan este crédito: los Hobbits fueron los primeros que la fumaron en pipa
136;Ni siquiera los Magos lo intentaron antes que nosotros
137;Aunque un mago que conocí adquirió este arte mucho tiempo atrás, mostrándose tan hábil como en todas las otras cosas a las que llegó a dedicarse.» 3 De la ordenación de la Comarca La Comarca se dividía en cuatro distritos, las Cuadernas, denominadas del Norte, del Sur, del Este y del Oeste y éstas a su vez en regiones que aún llevaban los nombres de algunas de las viejas familias principales, aunque en la época de esta historia esos nombres no se encontraban sólo en las regiones respectivas
138;Casi todos los Tuk vivían aún en las Tierras de Tuk, lo que no ocurría con muchas otras familias, tales como los Bolsón o los Boffin
139;La Comarca en ese entonces apenas tenía «gobierno»
140;Las familias cuidaban en general de sus propios asuntos y dedicaban la mayor parte del día al cultivo y consumo de alimentos
141;En otras cuestiones eran por lo común gente generosa, tranquila y poco ambiciosa, de modo que las heredades, granjas, talleres y pequeñas industrias tendían a conservarse invariables durante generaciones.La antigua tradición que hablaba de un rey de Fornost o Norburgo, como lo llamaban muy al norte de la Comarca, se conservaba aún, por supuesto
142;Pero no había habido rey durante casi mil años y las ruinas de Norburgo estaban cubiertas de hierba
143;Sin embargo, los Hobbits se acordaban aún de pueblos salvajes y criaturas malignas (como los trolls) que no habían oído hablar del rey
144;Atribuían al antiguo rey todas las leyes esenciales y por lo general las aceptaban de buen grado, ya que eran Los Preceptos (como ellos decían) a la vez antiguos y justos
145;"Es verdad que la familia Tuk ocupó una posición preeminente durante mucho tiempo; el cargo de Thain había pasado de los Gamoviejo a los Tuk algunos siglos antes y desde entonces el jefe Tuk había llevado siempre ese título"
146;El Thain era jefe de la Asamblea de la Comarca y capitán del acantonamiento y la tropa
147;Pero como la tropa y la Asamblea eran convocadas sólo en casos de emergencia, que ya no ocurrían, la dignidad del Thain era apenas nominal
148;A la familia Tuk se la respetaba especialmente, pues seguía siendo numerosa y muy rica y tenía la capacidad de producir en cada generación personajes recios, de costumbres peculiares, y aun de temperamento aventurero
149;Estas últimas cualidades, sin embargo, eran más toleradas (en los ricos) que generalmente aprobadas
150;No obstante, se mantuvo la costumbre de llamar el Tuk al jefe de la familia, y se agregaba al nombre si era necesario un número, como por ejemplo Isengrim Ñ
151;El único oficial verdadero en la Comarca era en esa época el Alcalde de Cavada Grande (o de la Comarca) y que era elegido cada siete años en la Feria Libre de las Quebradas Blancas, en Lithe, es decir, a mediados del verano
152;Como alcalde, su casi única obligación consistía en presidir los El Señor de los anillos: La Comunidad del anillo 9 banquetes en las fiestas de la Comarca, que se celebraban con frecuencia
153;Pero a la alcaldía se agregaban los oficios de jefe de Correos y Primer Oficial, de modo que el alcalde ordenaba tanto los servicios de mensajeros como los policiales
154;Estos eran los únicos servic ios de la Comarca, y los mensajeros, los más numerosos y los más atareados
155;"Los Hobbits no eran todos instruidos, de ningún modo; pero los que lo eran escribían constantemente a todos los amigos y algunos parientes que vivían más allá de una tarde de marcha"
156;Oficiales era el nombre que los Hobbits daban a sus policías o al equivalente más cercano
157;Por supuesto, no llevaban uniforme (cosas así eran completamente desconocidas), sino una simple pluma en el sombrero, y en la práctica eran guardias campestres, más que policías y se ocupaban más de los animales extraviados que de las gentes
158;En toda la Comarca sólo había doce: tres en cada Cuaderna, para trabajos internos
159;Un cuerpo bastante mayor, que variaba de acuerdo con la necesidad, estaba dedicado a «batir las fronteras» e impedir que los Extraños de cualquier clase, grandes o pequeños, molestaran demasiado
160;En la época en que empieza esta historia, los Fronteros, como se los llamaba, se habían multiplicado mucho
161;Había numerosos informes y quejas acerca de personas y criaturas extravías que merodeaban fuera o dentro de los lindes: primer signo de que todo no estaba completamente en orden, como lo había estado siempre, excepto en cuentos y leyendas de otro tiempo
162;Muy pocos prestaron atención a tales indicios y ni siquiera Bilbo tenía aún noción de lo que esto presagiaba
163;Habían pasado sesenta años desde que emprendiera el memorable viaje, y era viejo hasta para los Hobbits, quienes alcanzaban a veces los cien años, pero evidentemente conservaba mucho de la considerable fortuna que había traído de vuelta
164;Cuánto, o cuán poco, no lo había revelado a nadie, ni siquiera a Frodo, su sobrino favorito
165;Y todavía guardaba en secreto el Anillo que había encontrado
166;4 Del descubrimiento del Anillo Como se cuenta en El Hobbit, un día llegó a la puerta de Bilbo el gran Mago, Gandalf el Gris y con él trece Enanos: nada menos que Thorin EscudodeRoble, descendiente de reyes, y doce compañeros de exilio
167;Bilbo salió con ellos, del todo perplejo, en una mañana de abril del año 1341 de la Cronología de la Comarca, a la búsqueda del gran tesoro: el tesoro oculto de los Reyes Enanos de la Montaña, debajo de Erebor en el Valle, lejos al este
168;La búsqueda fue fructífera, y dieron muerte al Dragón que custodiaba el tesoro
169;Sin embargo, aunque antes del triunfo final se libró la batalla de los Cinco Ejércitos, en la que murió Thorin, y se realizaron muchas proezas, el asunto habría incumbido apenas a la historia posterior o sólo hubiera merecido algo más que un comentario en los largos anales de la Tercera Edad, de no haber mediado una causa fortuita: el grupo fue asaltado por Orcos en un alto paso de las Montañas Nubladas, en el camino hacia las Tierras Asperas, y sucedió que Bilbo se perdió un tiempo en las profundas y negras minas subterráneas de los Orcos, bajo la montaña, y allí, tanteando en vano en la oscuridad, posó la mano sobre un anillo, caído en el piso de un túnel
170;Se lo guardó en el bolsillo
171;En ese momento sólo pensó que había tenido suerte.El Señor de los anillos: La Comunidad del anillo 10 Tratando de encontrar la salida, Bilbo siguió descendiendo a las profundidades de la montaña, hasta que no pudo continuar
172;En el fondo de la galería había un lago helado, lejos de toda luz, y en una isla rocosa, en medio de las aguas, vivía Gollum
173;"Era una pequeña y aborrecible criatura; impulsaba un botecito con unos pies anchos y planos, acechando con ojos pálidos y luminosos; metía los dedos largos en el agua, sacaba un pez ciego, y se lo devoraba crudo"
174;Se alimentaba de cualquier cosa viviente, aun Orcos, si podía apresarlos y estrangularlos sin lucha
175;Era dueño de un tesoro secreto que había llegado a él en pasadas edades, cuando todavía vivía a la luz: un Anillo de oro que hacía invisible a quien lo usaba
176;Era lo único que amaba, su «tesoro», y hablaba con él aunque no lo llevaba consigo
177;Lo mantenía oculto y a salvo en un agujero de la isla, excepto cuando cazaba o espiaba a los Orcos de las minas
178;"Quizás habría atacado a Bilbo inmediatamente, si cuando se encontraron hubiese llevado el Anillo; pero no fue así, y el hobbit tenía en la mano una daga de los Elfos, que le servía de espada"
179;Para ganar tiempo, Gollum desafió a Bilbo al juego de los enigmas, diciéndole que propondría un enigma, y si Bilbo no podía resolverlo, lo mataría y se lo comería
180;Pero si Bilbo lo derrotaba, haría lo que él quisiera y le mostraría la salida a través de los túneles, Perdido sin esperanza en las tinieblas y no pudiendo avanzar ni retroceder, Bilbo aceptó el desafío
181;Se plantearon mutuamente los enigmas
182;Por fin Bilbo ganó, quizá más por buena suerte que por inteligencia, pues al plantearle a Gollum otro enigma, encontró en el bolsillo el Anillo que había recogido y olvidado y exclamó: ¿ Qué tengo en el bolsillo? Gollum no pudo responder, aunque consiguió que Bilbo aceptara tres respuestas
183;"Las autoridades, es cierto, difieren acerca de si esta última era una simple pregunta o un verdadero enigma, de acuerdo con las reglas estrictas del juego; pero todos están de acuerdo en que después de aceptar y tratar de adivinar la respuesta, la promesa ataba a Gollum"
184;Bilbo lo obligó a mantener su palabra, pues se le ocurrió la idea de que ese ser escurridizo podía ser falso, aunque tales promesas eran sagradas y aun las criaturas más malignas siempre habían temido romperlas
185;Pero después de pasar tantos años solo en la oscuridad, el corazón de Gollum era negro y abrigaba la traición
186;"Se escabulló y retornó a su isla no muy lejana, en las aguas oscuras, de la que Bilbo nada sabía.«Allí, pensaba, estaba el Anillo.» Se sentía ahora hambriento y enojado; pero una vez que tuviese el «tesoro» con él, ya no temería ningún ataque"
